,Id,SalePrice
0,1461,124510.21002390038
1,1462,154954.63082755826
2,1463,183871.58032227922
3,1464,182898.29757494866
4,1465,197868.13427048226
5,1466,184252.25918659687
6,1467,166011.63348639297
7,1468,174768.37160077892
8,1469,185758.97058791085
9,1470,119973.32080808081
10,1471,194591.0491269014
11,1472,93709.0367142857
12,1473,99859.237987013
13,1474,153266.54213464312
14,1475,145695.70777822935
15,1476,402558.57
16,1477,245841.05255757287
17,1478,307031.25944444444
18,1479,242893.35415140417
19,1480,457055.06
20,1481,311049.6593333334
21,1482,208572.10779761904
22,1483,173940.1767152982
23,1484,177570.35123367672
24,1485,172882.1337049424
25,1486,199798.49783750693
26,1487,337375.53666666674
27,1488,230914.57190909094
28,1489,209556.49833333335
29,1490,199836.81057665154
30,1491,190485.31744843384
31,1492,94202.59960340735
32,1493,180673.20852201202
33,1494,292188.086984127
34,1495,291876.0066190476
35,1496,229304.3413113276
36,1497,194627.7185806118
37,1498,153174.709982684
38,1499,150856.19264935065
39,1500,151737.51616666667
40,1501,172897.6998528991
41,1502,167634.40192688134
42,1503,300157.2166666667
43,1504,234500.69323443226
44,1505,219780.26661808364
45,1506,184981.78822802842
46,1507,211583.22095238097
47,1508,199557.9016438906
48,1509,164490.1724302866
49,1510,152894.0135035903
50,1511,154173.44103738322
51,1512,171274.44641310273
52,1513,153642.42278476502
53,1514,166912.05841269842
54,1515,170489.99424603174
55,1516,161340.3617315648
56,1517,153029.05661771688
57,1518,129245.73870424062
58,1519,226328.38575091577
59,1520,138321.49822703865
60,1521,146262.9743776436
61,1522,164657.26028403992
62,1523,116746.74728921792
63,1524,126655.93752313826
64,1525,124757.44357026965
65,1526,125073.47341706473
66,1527,101598.44724923866
67,1528,126309.05341512364
68,1529,145018.27860787217
69,1530,168486.75423028026
70,1531,129205.58142857142
71,1532,111743.74433004925
72,1533,150257.65795964413
73,1534,116675.88671536026
74,1535,156472.16699931648
75,1536,116721.8749711903
76,1537,73367.88181818182
77,1538,184886.21375
78,1539,258579.5857142857
79,1540,116749.8196894772
80,1541,147788.51972575724
81,1542,149930.47570307108
82,1543,213455.92649999997
83,1544,78938.24757575759
84,1545,106157.08825721567
85,1546,123937.76759797038
86,1547,145949.81277389277
87,1548,141496.2297055138
88,1549,116865.58560857836
89,1550,149293.09488274407
90,1551,118746.22712121213
91,1552,141940.84544619176
92,1553,139681.31575849446
93,1554,115894.7587878788
94,1555,178471.40328571427
95,1556,102251.91714285714
96,1557,128218.27916666667
97,1558,89797.48793650795
98,1559,119548.90625396825
99,1560,157564.34378787878
100,1561,153082.19986534966
101,1562,129230.88723933967
102,1563,123837.55701015638
103,1564,164966.8823290765
104,1565,156172.86342413747
105,1566,211810.40190909093
106,1567,77769.80515151515
107,1568,222651.79641025641
108,1569,156124.2394047619
109,1570,128990.51094369264
110,1571,138173.61157279974
111,1572,148726.2560395426
112,1573,248527.7
113,1574,124740.77455637758
114,1575,213028.98858211233
115,1576,209593.14428720227
116,1577,205099.26117065392
117,1578,151232.07996000655
118,1579,143685.6868835379
119,1580,193547.1628536437
120,1581,143727.54561516916
121,1582,129856.25991033869
122,1583,320236.26
123,1584,239705.29210963743
124,1585,140950.01633520078
125,1586,72738.5348541114
126,1587,108404.83491018636
127,1588,153440.27413273873
128,1589,96494.04635153081
129,1590,130895.97209301691
130,1591,107245.65250552964
131,1592,125994.27976190476
132,1593,120164.21907608269
133,1594,135384.35412698414
134,1595,122561.54533333336
135,1596,235684.77666666667
136,1597,164502.9966972158
137,1598,184422.8488231289
138,1599,224669.0
139,1600,196818.9
140,1601,82592.04991064491
141,1602,118721.49107546978
142,1603,98289.89077991014
143,1604,284783.04333333333
144,1605,248320.27360504202
145,1606,170225.47488334376
146,1607,163591.93545454546
147,1608,217510.19821428572
148,1609,202703.1350630653
149,1610,164834.33739774922
150,1611,150039.75063238194
151,1612,164857.74657510745
152,1613,163160.1039942827
153,1614,120294.44354071852
154,1615,86284.81818181816
155,1616,82988.54274891774
156,1617,89109.88574025975
157,1618,129088.93364228928
158,1619,130954.20642525928
159,1620,152307.25895658263
